reportperiod,revenue,opinc,netinc,dps,netmargin,pe,cash_and_sti,equity,receivables,debtc,debt,pb,ncfo,ncfi,ncff,fcf,pfcf,shares,marketcap
2020-09-30,6435637000,1314863000,789976000,0,12.3%,78.583,8392391000,10333323000,0,499517000,16047133000,21.341,1263761000,-118651000,68665000,1153950000,330.580,455088000,220520951963
2020-06-30,6148286000,1357928000,720196000,0,11.7%,74.630,7153248000,9334753000,0,499161000,15794159000,21.438,1041076000,-142001000,1090965000,899335000,-193.540,453945000,200117772415
2020-03-31,5767691000,958256000,709067000,0,12.3%,73.825,5151884000,8409294000,0,498809000,14669501000,19.594,259912000,-98303000,43694000,161897000,-65.470,452494000,164771896700
2019-12-31,5467434000,458512000,586970000,0,10.7%,75.957,5018437000,7582157000,0,0,14759260000,18.702,-1461975000,-207571000,2223801000,-1548110000,-45.160,451372000,141804969582
2019-09-30,5244905000,980239000,665244000,0,12.7%,82.874,4435018000,6861505000,0,0,12425746000,17.077,-501794000,-49354000,11989000,-547127000,-41.190,451552000,117173371121
2019-06-30,4923116000,706419000,270650000,0,5.5%,139.464,5004247000,6105548000,0,0,12594135000,26.302,-543754000,-50036000,2246900000,-583338000,-52.910,452195000,160589325402
2019-03-31,4520992000,459084000,344052000,0,7.6%,123.046,3348557000,5703058000,0,0,10305023000,27.297,-379799000,-80103000,22972000,-440180000,-51.720,451922000,155673595746
2018-12-31,4186841000,215767000,133934000,0,3.2%,96.366,3794483000,5238765000,0,0,10360058000,22.281,-1235072000,-80358000,2053864000,-1274113000,-40.890,451127000,116722509762
2018-09-30,3999374000,480668000,402835000,0,10.1%,129.011,3067534000,5009653000,0,0,8336586000,32.521,-690411000,-168694000,29237000,-737475000,-79.600,451919000,162917716346
2018-06-30,3907270000,462213000,384349000,0,9.8%,171.929,3906357000,4496600000,0,0,8342067000,37.837,-518239000,-40316000,1909412000,-558114000,-95.960,451552000,170137908113
2018-03-31,3700856000,446578000,290124000,0,7.8%,191.057,2593666000,4020730000,0,0,6542373000,31.876,-236757000,-49752000,56014000,-284723000,-70.340,450359000,128166677956
2017-12-31,3285755000,245303000,185517000,0,5.6%,148.618,2822795000,3581956000,0,0,6499432000,23.190,-487957000,-35841000,1597943000,-466329000,-42.400,448155000,83067067715
2017-09-30,2984859000,208627000,129590000,0,4.3%,177.885,1746469000,3327361000,0,0,4888783000,23.532,-419607000,202192000,34422000,-463787000,-36.760,447362000,78297816074
2017-06-30,2785464000,127807000,65600000,0,2.4%,177.843,2164902000,3112500000,0,0,4836502000,20.689,-534528000,-56432000,1420386000,-607383000,-29.640,446262000,64394728227
2017-03-31,2636635000,256942000,178222000,0,6.8%,188.645,1341229000,2973683000,0,0,3365431000,21.394,-343856000,-75590000,24239000,-421751000,-34.950,445458000,63619137561
2016-12-31,2477541000,153934000,66748000,0,2.7%,284.598,1733782000,2679800000,0,0,3364311000,19.825,-557160000,24422000,1042472000,-637005000,-32.030,440068000,53128153847
2016-09-30,2290188000,106036000,51517000,0,2.2%,259.036,1343256000,2528966000,0,0,2373966000,16.707,-461941000,23976000,16639000,-506556000,-32.500,438389000,42250886987
2016-06-30,2105204000,70370000,40755000,0,1.9%,277.826,1834228000,2415834000,0,0,2373085000,16.218,-226293000,-2896000,17612000,-255031000,-37.600,438154000,39179897480
